id,svg
bef2864d9a862b7436c73435346f1c64,"<svg width="256" height="256" viewBox="0 0 256 256" xmlns="http://www.w3.org/2000/svg">   <!-- White background -->   <rect width="256" height="256" fill="white"/>      <!-- Three black rectangles with varying heights -->   <rect x="64" y="80" width="40" height="60" fill="black"/>   <rect x="112" y="100" width="40" height="40" fill="black"/>   <rect x="160" y="60" width="40" height="80" fill="black"/> </svg>"
7f11068772653f283977d9c2f5612a02,"<svg width="256" height="256" viewBox="0 0 256 256" xmlns="http://www.w3.org/2000/svg">   <!-- White Background -->   <rect width="256" height="256" fill="white"/>      <!-- Document Shape (Light Blue) -->   <path d="M48 128 L104 128 L104 192 L48 192 Z" fill="#E3F2FD"/>      <!-- Document Border (Dark Blue) -->   <path d="M48 128 L104 128 L104 192 L48 192 Z" fill="none" stroke="#1565C0" stroke-width="4" stroke-linejoin="round"/>      <!-- Checkmark (Blue) -->   <path d="M104 128 L144 168 L184 128" fill="none" stroke="#1565C0" stroke-width="4" stroke-linecap="round" stroke-linejoin="round"/> </svg>"
cc1df4dd3f0cc361daa667ee0f05eaf7,"<svg width="256" height="256" viewBox="0 0 256 256" xmlns="http://www.w3.org/2000/svg">   <!-- Pod Shape -->   <path d="M64 160 Q 64 80 128 80 Q 192 80 192 160 Q 192 240 128 240 Q 64 240 64 160 Z" fill="#76B541" stroke="#558B2F" stroke-width="4"/>      <!-- Pea 1 -->   <circle cx="90" cy="130" r="18" fill="#4CAF50" stroke="#388E3C" stroke-width="2"/>      <!-- Pea 2 -->   <circle cx="166" cy="130" r="18" fill="#4CAF50" stroke="#388E3C" stroke-width="2"/> </svg>"
8821c406-676c-4fdf-b18f-fe01c00d793f,"<svg width="256" height="256" viewBox="0 0 256 256" xmlns="http://www.w3.org/2000/svg">   <!-- Folder Background -->   <path d="M20 120 L120 20 L200 20 L200 120 Z" fill="#F59E0B"/>   <!-- Folder Tab -->   <path d="M20 120 L120 20 L200 20 L200 120 Z" fill="#F59E0B"/>   <!-- Plus Symbol -->   <path d="M128 48 L128 108 M48 128 L108 128" stroke="#000000" stroke-width="4" stroke-linecap="round"/> </svg>"
8390a1ddd68fc7de495d11dffab32031,"<svg width="256" height="256" viewBox="0 0 256 256" xmlns="http://www.w3.org/2000/svg">   <!-- Blue Circle Background -->   <circle cx="128" cy="128" r="120" fill="#2196F3"/>      <!-- White Cloud Shape -->   <path d="M128 40 C 100 40 80 60 80 80 C 80 100 100 120 128 120 C 156 120 176 100 176 80 C 176 60 156 40 128 40 Z" fill="#FFFFFF"/>      <!-- Upward Arrow -->   <path d="M128 120 L 128 160 L 140 170 L 110 170 L 120 160 Z" fill="#FFFFFF"/> </svg>"
48fba8b033c732c00f1a288dfc34aedc,"<svg width="256" height="256" viewBox="0 0 256 256" xmlns="http://www.w3.org/2000/svg">   <!-- White background -->   <rect width="256" height="256" fill="white"/>      <!-- Boot outline -->   <path d="M120 160 L120 140 L130 140 L130 120 L140 120 L140 100 L150 100 L150 80 L160 80 L160 60 L170 60 L170 40 L180 40 L180 20 L190 20 L190 0 L200 0 L200 20 L210 20 L210 40 L220 40 L220 60 L230 60 L230 80 L240 80 L240 100 L250 100 L250 120 L260 120 L260 140 L260 160 L250 160 L250 180 L240 180 L240 200 L230 200 L230 220 L220 220 L220 240 L210 240 L210 220 L200 220 L200 240 L190 240 L190 220 L180 220 L180 240 L170 240 L170 220 L160 220 L160 240 L150 240 L150 220 L140 220 L140 240 L130 240 L130 220 L120 220 L120 240 Z" fill="none" stroke="black" stroke-width="4" stroke-linecap="round" stroke-linejoin="round"/>      <!-- Laces -->   <path d="M140 120 L140 100 L150 100 L150 120" fill="none" stroke="black" stroke-width="4" stroke-linecap="round" stroke-linejoin="round"/> </svg>"
1d800968d7d3aa76b9e097cee61fbe60,"<svg width="256" height="256" viewBox="0 0 256 256" xmlns="http://www.w3.org/2000/svg">   <circle cx="128" cy="128" r="120" fill="currentColor"/>   <polygon points="100,100 156,100 100,156" fill="white"/> </svg>"
5f4a048069086cff1d5f8d424af1b8ca,"<svg width="256" height="256" viewBox="0 0 256 256" xmlns="http://www.w3.org/2000/svg">   <!-- Head -->   <circle cx="128" cy="80" r="32" fill="none" stroke="currentColor" stroke-width="4"/>      <!-- Body -->   <rect x="100" y="112" width="56" height="80" fill="none" stroke="currentColor" stroke-width="4"/>      <!-- Arms -->   <line x1="100" y1="112" x2="80" y2="144" stroke="currentColor" stroke-width="4"/>   <line x1="156" y1="112" x2="176" y2="144" stroke="currentColor" stroke-width="4"/> </svg>"
363e052b0457c60892eab6c887dd5b27,"<svg width="256" height="256" viewBox="0 0 256 256" xmlns="http://www.w3.org/2000/svg">   <!-- White Background -->   <rect width="256" height="256" fill="white"/>      <!-- Zigzag Line -->   <polyline points="50,200 100,150 150,200 200,150 250,200"              fill="none" stroke="#808080" stroke-width="4" stroke-linejoin="round"/>      <!-- Gray Arrows -->   <!-- Arrow 1 -->   <path d="M 50,200 L 60,190 L 70,200" fill="none" stroke="#808080" stroke-width="3" stroke-linecap="round"/>      <!-- Arrow 2 -->   <path d="M 100,150 L 110,140 L 120,150" fill="none" stroke="#808080" stroke-width="3" stroke-linecap="round"/>      <!-- Arrow 3 -->   <path d="M 150,200 L 160,190 L 170,200" fill="none" stroke="#808080" stroke-width="3" stroke-linecap="round"/>      <!-- Arrow 4 -->   <path d="M 200,150 L 210,140 L 220,150" fill="none" stroke="#808080" stroke-width="3" stroke-linecap="round"/> </svg>"
d942c8be4045344396e6a113f7c58a3f,"<svg width="256" height="256" viewBox="0 0 256 256" xmlns="http://www.w3.org/2000/svg">   <!-- Gift Box -->   <rect x="40" y="100" width="120" height="80" fill="none" stroke="black" stroke-width="8"/>   <rect x="40" y="100" width="120" height="80" fill="white"/>      <!-- Ribbon Vertical Strip -->   <rect x="90" y="100" width="10" height="80" fill="none" stroke="black" stroke-width="8"/>      <!-- Ribbon Horizontal Strip -->   <rect x="40" y="140" width="120" height="10" fill="none" stroke="black" stroke-width="8"/>      <!-- Bow Left Loop -->   <path d="M70 140 Q60 120 70 130 Q80 120 70 140" fill="none" stroke="black" stroke-width="8"/>      <!-- Bow Right Loop -->   <path d="M110 140 Q100 120 110 130 Q120 120 110 140" fill="none" stroke="black" stroke-width="8"/>      <!-- Bow Center Knot -->   <rect x="90" y="130" width="20" height="10" fill="none" stroke="black" stroke-width="8"/> </svg>"
